,ID,A,B,C,D,AIC,chi-squared,r-squared,status
0,1659,-0.012479168949559315,0.014500383507239548,-0.0004493606007617264,4.50455891494206e-06,-105.3349164072741,0.0009494100963171719,0.9095462716039334,C
0,1660,0.08228885169935354,-0.005190253692014976,0.0006438097468454244,-1.4700718728072564e-05,-111.38433961564974,0.0013354841653514065,0.7871049248023325,C
0,1661,0.19953963565007143,-0.027617782412101582,0.0021944653282359515,-4.527865942272234e-05,-90.8665527098587,0.0013740768497099076,0.8837431442736687,C
0,1662,0.08773461675029581,-0.009642699635052756,0.0012221466502462658,-2.8246184089802572e-05,-96.62811010905524,0.001961388720098414,0.9287772792805631,C
0,1663,0.05677680500905679,-0.0044785637833969745,0.0008114500823790629,-1.9588937920529165e-05,-104.3737399361395,0.0010285845159834135,0.9305216388072836,C
0,1664,0.08132602929617094,-0.01313855427779518,0.0012360213540656578,-2.608855283714777e-05,-98.76550152245056,0.003525328946623143,0.7628395209397485,C
0,1665,0.14312766749210404,-0.011975219569037479,0.0011209475630359598,-2.449229211121083e-05,-93.72091208339265,0.009786786642062052,0.5654240124126862,C
0,1666,0.012997879397889829,0.005413177620283685,0.00010007839480915717,-5.713190906656119e-06,-101.13422132304407,0.0005402937554449034,0.9169167061073699,C
0,1667,0.059775007524818895,-0.0067375972776575225,0.0008636763347576267,-1.9381082644828118e-05,-103.51413081944318,0.0011049694569478636,0.9041966475102965,C
0,1668,0.07608071586978822,-0.007656838930579373,0.0010949724081029254,-2.682498671313288e-05,-93.66565340534771,0.005218811839903833,0.7721213665410669,C
0,1669,0.039784661846516654,-0.0022764596351680117,0.0007218600149169593,-1.700976226015147e-05,-109.62843416608455,0.0015286172165937392,0.9393212996409485,C
0,1670,0.1065710364431917,-0.010628334387190849,0.0011137306112925115,-2.6923612248357318e-05,-109.56361804838272,0.000667439691949743,0.9446002826733889,C
0,1671,46.074565555797776,-2.587478078660482,0.04774635655947261,-0.0002829663231429901,-13.440203031363193,0.06865902483677591,0.9521598670624398,C
0,1672,5.945759950270211,-0.41884502789351197,0.009208886303699747,-5.9700927539957446e-05,-24.881470761371574,0.0069650099732613616,0.9906469714690829,C
0,1673,49.865222575845294,-2.6192900151543452,0.04518153409124005,-0.0002547821106866809,-9.421661290413837,0.15337117032044295,0.4635993596699288,C
0,1674,75.87086597151965,-3.975411730684484,0.06820622635003593,-0.0003808512342686292,-5.7374947399106375,0.320439741112525,0.7294311148590861,C
0,1675,132.59270323276678,-5.129281663081718,0.06572672189196828,-0.0002781715260632589,-42.23048835031656,0.0002167730167501699,0.9991986476849971,C
0,1676,-27.99989235600574,0.41772350341589704,0.001974263623771233,-3.33451903238854e-05,-16.180088772066856,0.22126631737762487,0.8436829668163266,C
0,1677,0.3657447884620813,-0.044742811607776385,0.0017639909415096916,-2.1137168202198407e-05,-60.32425377844285,6.802630015945735e-05,0.9731521799433079,C
0,1678,17.550461359829857,-1.9128607082370297,0.0487497440598628,-0.000354860635833662,-33.087069710696724,0.26255547584683464,0.9120426191404258,C
0,1679,31.519638405089047,-2.140184571480826,0.0468556862155659,-0.0003181999529166117,-28.649449443018057,1.9686802154045568,0.8986160492273023,C
0,1680,-71.40710689151219,6.446570972942727,-0.16991909375847675,0.0013997975754374088,-2.664543379431713,1.0144388197566063,0.9645398009949293,C
0,1681,1.24459138874366,-0.11713773815727481,0.003187965405912434,-2.4714244970818327e-05,-44.047999477321525,0.027712090643401285,0.8661774133662874,C
0,1682,0.19417858994374176,-0.025596399961677656,0.0010494460574203526,-1.1838032608423617e-05,-211.40850817531708,0.0025696968515607054,0.9216267370592551,C
0,1683,0.04194342814144018,-0.012955236569032576,0.00057493050826297,-5.241171314289053e-06,-59.315876500725196,0.00046631758794944114,0.9905828185815447,C
0,1684,3.3956362779337717,0.07444086219884836,0.003734008892927208,-7.789997018259486e-05,-61.066063994941544,0.10083871136628142,0.9672026952977896,C
0,1685,3.988315933521049,-0.06723584368337876,0.010147150738403984,-0.0001634178170745693,-56.837009269883595,0.13640080685465417,0.9707341397381287,C
0,1686,13.053735054316713,-0.9173233903146021,0.03638477683142229,-0.00042463285702365195,-30.765207631044973,1.131679741290817,0.7991442434283139,C
0,1687,19.20001797046635,-1.5665073998416001,0.058499990245461785,-0.000673281263499781,-24.433299196988564,1.38042731702966,0.7812697918603074,C
0,1688,15.5716828014713,-1.2457731199363435,0.04936152172500014,-0.0005897398256158229,-43.62037337844378,0.48031745738942,0.9050042732270196,C
0,1689,14.696580683836132,-1.2307822274057008,0.05441169445187014,-0.0007247126935061331,-32.6280270012535,0.1720074297068914,0.9107531424750943,C
0,1690,11.163108558629027,-2.2535455211685798,0.22361601736438566,-0.006542601416570053,-10.777003671191885,0.7651495934957627,0.8650123704538711,C
0,1691,11.69279547035403,-1.6933109771576702,0.12123109144345279,-0.0025023974744961637,-16.272305817284543,1.2108493029831406,0.9125840039431596,C
0,1692,-1.0274501756729402,0.9871838965448658,-0.0409100870021904,-0.00012089232405491044,-8.278503971367744,1.045639380056606,0.8385726968528405,C
0,1693,0.8527756975516582,-0.19226032076061259,0.015761371750815985,-0.00024334039491753643,-7.054394020997766,1.2185264356101304,0.8792314959665554,C
0,1694,-1565.2675656649556,107.0976300369103,-2.3467889348250623,0.016792476334503995,11.78614546207213,10.661797279435344,0.9504497863044703,C
0,1695,-453.2953381078524,36.58604318148231,-0.8790269313365654,0.006686156667956373,5.052601794680454,4.594469339268416,0.9900722847626954,C
0,1696,175.57651237953542,-0.2475187423008014,-0.18206944941561864,0.002397026297348162,11.629355703499954,11.75630315250574,0.9837850259123474,C
