,ID,A,B,C,D,AIC,BIC,chi-squared
0,666,125547.92796,-1328.48964768,4.68436051134,-0.00550475178174,67.9823012583,82.6341431789,354.685811477
0,667,25070.8434035,-276.709887012,1.0166330531,-0.00124413388063,425.202096884,444.000098245,1357.35879228
0,668,52397.4734816,-556.916725251,1.97141651155,-0.0023249282075,185.303829622,202.844607218,799.661931445
0,669,2289.14845302,-25.975414338,0.0969656619639,-0.000119938084493,-0.565080011839,15.195604999,371.530725926
0,670,40882.219786,-435.777160164,1.54676987521,-0.00182889030909,187.435970294,204.587404535,750.982739779
0,671,-244829.475993,2498.46707032,-8.49599130594,0.00962697748925,27.0352511721,28.6268322633,62.0768201081
0,672,-175022.686527,1752.55266091,-5.84696961541,0.00649951814979,33.7822084071,34.9925487791,131.736792234
0,673,-96914.0012694,967.376110972,-3.21806251657,0.00356728939413,10.8551077693,10.6387483655,10.5253084707
0,674,-95380.8007325,950.981516293,-3.1595928575,0.00349776596486,12.1331886249,11.9168292211,12.6336724604
0,675,-166587.600048,1677.88869851,-5.6333266234,0.00630402586205,55.6071821575,65.0340174642,143.603684719
0,676,-82834.9897594,826.031028498,-2.74519191181,0.00304007906727,9.89985624743,10.2176224142,10.1444176869
0,677,-83698.6742046,833.381971678,-2.76520491696,0.00305710058729,12.8733836975,12.6570242937,14.0427720718
0,678,13717.7495576,-138.745386878,0.466730830882,-0.000522685203861,-3.59666055149,-5.15890890176,0.491696217219
0,679,12686.1357955,-127.840127553,0.428391850127,-0.000477865660598,-4.1909140045,-5.75316235476,0.436596920409
0,680,12760.1247197,-128.79758851,0.432352457125,-0.00048315067048,-0.450374093992,-2.01262244426,0.922528594902
0,681,12499.8006279,-126.304626609,0.424450959513,-0.000474864063567,-1.63812973634,-3.20037808661,0.727465986607
0,682,11217.6790412,-113.280490922,0.380426904798,-0.000425341862773,-5.49019547513,-7.05244382539,0.33668712828
0,683,13038.3223245,-131.643886646,0.442013137579,-0.000494063283819,-2.8892419007,-4.45149025096,0.566425074458
0,684,13279.7840616,-133.990983647,0.449594764202,-0.000502188487809,-3.02583989741,-4.58808824767,0.551160035169
0,685,12787.7141326,-129.076033599,0.433264266503,-0.000484142682003,-3.59463172587,-5.15688007613,0.491895770879
0,686,19008.3808333,-191.74123585,0.643610529329,-0.000719386673893,5.11085420044,6.70243529164,8.45912427491
0,687,23913.5649581,-243.335735225,0.824213924292,-0.000929775247007,10.0015092691,11.2118496411,12.2158711462
0,688,-94230.9553991,924.645378415,-3.02423605172,0.00329670430814,-5.06119177322,-6.62344012348,0.366850657254
0,689,-84999.4154798,833.538360312,-2.7246307058,0.00296840929222,-6.0844313013,-7.64667965156,0.298959146763
0,690,-95218.1321129,934.173693607,-3.05486338025,0.00332948548396,-6.31476313166,-7.87701148192,0.285499582025
0,691,-85005.5772053,824.79081901,-2.66671897691,0.00287281691873,1.13119568259,-0.431052667671,1.26576546387
0,692,-75853.9512349,738.860775137,-2.39866584313,0.00259511339425,-2.93932754175,-4.50157589202,0.560779445568
0,693,-99397.5551114,975.705647728,-3.19237726503,0.0034811995701,-2.35496706123,-3.91721541149,0.63030244724
0,694,-94275.1820941,925.85793231,-3.0307808041,0.00330669535646,-3.00966049355,-4.57190884381,0.552946412022
0,695,-76329.2057391,745.701711352,-2.42826494619,0.00263537814597,-2.91353163226,-4.47577998252,0.563680084762
0,696,-74712.6826125,730.180254034,-2.3786607948,0.00258260958671,-2.65970799495,-4.22195634521,0.593033916674
0,697,3569.0115318,-35.6687091844,0.118278517127,-0.000130612665362,-76.7016359419,-74.7620093427,0.0103211198519
0,698,4487.73270574,-45.0409709469,0.150116404427,-0.000166625744964,-39.1277712669,-37.9174308949,0.0897980486654
0,699,8601.02815956,-85.9584210865,0.285653149403,-0.000316127415753,-44.4287172263,-43.2183768543,0.0528505780254
0,700,5530.29334609,-55.7756225386,0.186908968759,-0.000208607020996,-35.9958819185,-36.8288440416,0.00392304352419
0,701,7038.2790961,-70.2867537556,0.233311001729,-0.000257904083505,-118.690491845,-117.480151473,3.14703699453e-05
0,702,2427.74034523,-24.1524671288,0.0795744571859,-8.72888923533e-05,-46.2168170279,-44.2771904288,0.130920967958
0,703,5665.67906326,-56.9236550675,0.190043219624,-0.000211315005592,-18.8941409753,-19.7271030984,0.067840402123
0,704,-86197.60259,900.418789192,-3.1355853493,0.00363962319753,47.7122211631,56.4097702427,119.74260953
0,705,-4813.86809179,-101.377267942,0.866462090344,-0.00158548825819,50.4210446851,55.1332600065,140.554787431
0,706,640232.093547,-5703.86663976,16.5220895213,-0.0154016502165,37.9150294677,39.8546560668,145.158430793
0,707,-624163.724697,6559.24436838,-22.9740257566,0.0268188097304,42.384063465,46.5621532158,107.970581143
0,708,4862591.8701,-52099.8163209,185.765954056,-0.22045166626,27.7811733113,27.5648139075,118.130748676
0,709,5273232.33343,-54116.9066312,185.121272224,-0.211080453272,52.8695144018,57.4114912655,161.797033191
0,710,17673.9600426,-180.584941395,0.614264990655,-0.000696129886824,-202.289316492,-193.653784159,2.39435171888
0,711,25656.1062471,-265.581668574,0.915654960364,-0.00105202042801,-83.2076130345,-77.4716642166,1.63526707373
0,712,32003.3383225,-331.229639282,1.14199457921,-0.00131215403279,-62.5612124351,-57.8489971137,1.26871339508
0,713,1912.47408432,-20.4019357762,0.0718707668706,-8.41421254287e-05,-30.3127908094,-28.3731642102,0.492714235181
0,714,-2915.66727243,28.0650003649,-0.0902621212531,9.6595263872e-05,-28.8104396907,-26.8708130915,0.558427773514
0,715,-10656.7780651,104.960526541,-0.344777609555,0.000377267511908,-23.1654393998,-21.2258128006,0.893853578024
0,716,-7219.36653303,69.5836860645,-0.223601215293,0.000239146473443,-29.427764499,-27.4881378999,0.530426581651
0,717,-27844.6740329,275.37878866,-0.90770749308,0.00099679168242,-19.1154028546,-17.1757762554,1.25268562331
0,718,14964.5301734,-150.619322762,0.504558341851,-0.000563061991201,-51.1753352908,-46.4631199694,2.03890899801
0,719,17494.2419444,-176.371336248,0.591847520864,-0.000661561318102,-22.6015689678,-17.8893536464,6.70590483345
0,720,10375.6327457,-104.927594496,0.352966421195,-0.000395471567148,-35.907916421,-31.1957010996,3.85186448468
0,721,-16107.2241192,160.321796737,-0.532309176612,0.000589075350716,-32.7719710865,-30.8323444873,0.40141574932
0,722,12730.7439483,-127.6380887,0.425797201511,-0.000473117879339,-38.1769960631,-33.4647807417,3.50437548999
0,723,-148831.098331,1527.63251883,-5.22614499803,0.00595869168585,19.581690868,21.5213174672,31.5018903599
0,724,44899.2256912,-468.196366849,1.62680392596,-0.00188394221588,-23.3991737766,-22.6102754672,0.274838257484
0,725,-306234.265133,3137.67260922,-10.7140362393,0.0121920204946,23.7761502346,25.3677313257,46.1589441698
0,726,260064.104407,-2682.90969612,9.22277573046,-0.0105661601301,5.81517354065,4.25292519038,3.2299692613
0,727,146425.190132,-1498.92206582,5.11197406261,-0.00580987941581,8.90532439075,8.07236226766,6.97719426142
0,728,163675.601307,-1675.32589685,5.71289476635,-0.00649173536859,10.4519789612,9.61901683814,9.02882854188
